[16:09:39] [main/INFO]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 39.0.64, --fml.mcVersion, 1.18.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20211210.034407, nogui]
[16:09:39] [main/INFO]: ModLauncher 9.1.0+9.1.0+main.6690ee51 starting: java version 17.0.1 by Oracle Corporation
[16:10:20] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/E:/Desktop/ATM-server-files/server-files/SIMPLE-SERVER-FILES-0.2.36/setup/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2319!/ Service=ModLauncher Env=SERVER
[16:10:23] [main/INFO]: Found mod file [1.18.1] SecurityCraft v1.9.0.2-beta1.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file absentbydesign-1.18-1.6.0.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file AdditionalEnchantedMiner-1.18.1-18.5.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file additionallanterns-1.0.0-mc1.18.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file advancedperipherals-1.18.1-0.7.9r.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file AEInfinityBooster-1.18.1-1.0.0+3.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file AI-Improvements-1.18-0.4.0.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file alexsmobs-1.16.0.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file AllTheCompressed-1.0.2-1.18.1-39.0.59.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file allthemodium-1.7.0-pre22-1.18.1-39.0.10.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file alltheores-1.8.0pre1-1.18.1-39.0.0.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file allthetweaks-1.8.3-1.18.1-39.0.0.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file angelring-1.18.1-2.0.0.alpha.2.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file Apotheosis-1.18.1-5.2.2.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file appleskin-forge-mc1.18-2.3.0.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file appliedenergistics2-10.1.0-beta.1.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file Aquaculture-1.18.1-2.3.2.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file architectury-3.5.12.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file ars_nouveau-1.18.1-2.1.2.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file artifacts-1.18.1-4.0.2.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file balm-2.4.2+0.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file baubley-heart-canisters-1.18-1.0.0.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file Beyond-Earth-1.18.1-6.0c.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file Beyond-Earth-Giselle-Addon-1.18.1-1.6.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file biggerreactors-1.18.1-0.6.0-beta.0.2.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file BiomesOPlenty-1.18.1-15.0.0.105-universal.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file blockui-1.18.1-0.0.43-ALPHA.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file blockydoors-1.18-1.0.0.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file blue_skies-1.18.1-1.3.3.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file bonsaitrees3-3.0.2.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file buildinggadgets-3.12.0-build.4+mc1.18.1.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file caelus-forge-1.18-3.0.0.1.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file catalogue-1.6.0-1.18.1.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file cc-tweaked-1.18.1-1.100.2.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file charginggadgets-1.6.0.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file chipped-1.18.1-1.2.1-forge.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
[16:10:23] [main/INFO]: Found mod file citadel-1.10.8-1.18.jar of type MOD with locator {mods folder locator at E:\Desktop\ATM-server-files\server-files\SIMPLE-SERVER-FILES-0.2.36\setup\mods}
